city_name,city_url,locality_name,price_range_per_sq_ft,avg_price_per_sq_ft,price_rise
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,Avadi,"2,139-6,309 / sqft","5,241.2 / sqft",-5%
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,Sholinganallur,"2,894-14,595 / sqft","12,867.31 / sqft",-1.2%
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,Guduvancheri,"2,460-7,392 / sqft","6,891.51 / sqft",26.7%
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,Perungalathur,"2,868-9,712 / sqft","8,174.79 / sqft",39.1%
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,Medavakkam,"3,326-9,974 / sqft","8,848 / sqft",-16%
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,tambaram west,"1,333-8,764 / sqft","8,368.79 / sqft",-10.5%
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,Porur,"882-10,402 / sqft","10,144.41 / sqft",32.9%
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,Thirunindravur,Not Available,,Not Available
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,Veppampattu,Not Available,"3,76.92 / sqft",Not Available
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,Urapakkam,"1,665-6,462 / sqft","6,143.51 / sqft",18.8%
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,Chengalpattu,"2,645-5,561 / sqft","5,62.95 / sqft",42.2%
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,Padianallur,Not Available,,Not Available
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,Poonamallee,"3,234-7,937 / sqft","7,760.97 / sqft",-7.9%
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,Kelambakkam,"2,786-8,040 / sqft","5,796.64 / sqft",-51%
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,Mogappair,"4,399-13,769 / sqft","12,812.99 / sqft",-20.6%
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,Madipakkam,"3,328-10,733 / sqft","8,565.21 / sqft",31.5%
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,Selaiyur,"3,226-7,789 / sqft","7,464.64 / sqft",30.7%
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,West Tambaram,"3,350-7,509 / sqft","6,513.9 / sqft",17.6%
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,Perungudi,"4,535-15,504 / sqft","13,748.17 / sqft",7.3%
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,Ambattur,"3,654-16,418 / sqft","8,283.78 / sqft",37.9%
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,Kolathur,"1,433-9,286 / sqft","8,544.94 / sqft",19.8%
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,Siruseri,"3,220-6,552 / sqft","6,418.26 / sqft",31.4%
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,Pallavaram,"2,732-13,769 / sqft","12,683.61 / sqft",35.4%
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,Maraimalai Nagar,"2,125-5,367 / sqft","5,158.1 / sqft",21.4%
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,Pallikaranai,"4,016-8,893 / sqft","7,919.26 / sqft",-2.7%
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,Navallur,"3,695-13,949 / sqft","10,539.23 / sqft",93.4%
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,Velachery,"4,727-21,825 / sqft","15,196.36 / sqft",-3.2%
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,Chromepet,"2,866-27,752 / sqft","7,706.87 / sqft",10.3%
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,Perumbakkam,"3,043-6,909 / sqft","6,73.2 / sqft",21%
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,Sriperumbudur,"2,538-4,464 / sqft","3,501.14 / sqft",6.9%
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,Padur,"3,336-10,201 / sqft","7,740.79 / sqft",12%
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,Manapakkam,"687-9,740 / sqft","8,420.9 / sqft",23.7%
Chennai,https://www.makaan.com/price-trends/property-rates-for-buy-in-chennai?page=1,Singaperumal Koil,"833-5,731 / sqft","5,326.92 / sqft",24.9%
